OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
978,Liaocheng Xian,聊城县,聊城縣,115.988693,36.447739,山东聊城市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122000,FROM_AC,,孟刚,满志敏,2004/04/05
979,Tangyi Xian,堂邑县,堂邑縣,115.774849,36.487839,山东聊城市堂邑镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122001,FROM_AC,,孟刚,满志敏,2004/04/05
980,Boping Xian,博平县,博平縣,116.111435,36.587913,山东茌平县博平,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122002,FROM_AC,,孟刚,满志敏,2004/04/05
981,Chiping Xian,茌平县,茌平縣,116.250229,36.586616,山东茌平县县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122003,FROM_AC,,孟刚,满志敏,2004/04/05
982,Qingping Xian,清平县,清平縣,116.076569,36.754780,山东高唐县旧城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122004,FROM_AC,,孟刚,满志敏,2004/04/05
983,Guan Xian,冠县,冠縣,115.436226,36.473129,山东冠县县治冠城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122005,FROM_AC,,孟刚,满志敏,2004/04/05
984,Guantao Xian,馆陶县,館陶縣,115.407806,36.657890,山东冠县北馆陶镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Dongchang Fu,东昌府,,,120013,POINT,122006,FROM_AC,,孟刚,满志敏,2004/04/05
985,Xiajin Xian,夏津县,夏津縣,116.002891,36.950279,山东夏津县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Linqing Zhou,临清州,,,120013,POINT,122007,FROM_AC,,孟刚,满志敏,2004/04/05
986,Qiu Xian,邱县,邱縣,115.156814,36.713917,河北丘县丘城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Linqing Zhou,临清州,,,120013,POINT,122008,FROM_AC,,孟刚,满志敏,2004/04/05
987,Licheng Xian,历城县,歷城縣,117.001488,36.650131,山东济南市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122009,FROM_AC,,孟刚,满志敏,2004/04/05
988,Qihe Xian,齐河县,齊河縣,116.780632,36.701077,山东齐河县旧齐河,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122010,FROM_AC,,孟刚,满志敏,2004/04/05
989,Yucheng Xian,禹城县,禹城縣,116.660196,36.955282,山东禹城县禹城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122011,FROM_AC,,孟刚,满志敏,2004/04/05
990,De Zhou,德州,德州,116.287415,37.451645,山东德州市市治,Zhou,州,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122012,FROM_AC,,孟刚,满志敏,2004/04/05
991,Deping Xian,德平县,德平縣,116.959076,37.464451,山东临邑县德平镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122013,FROM_AC,,孟刚,满志敏,2004/04/05
992,Pingyuan Xian,平原县,平原縣,116.429070,37.157734,山东平原县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122014,FROM_AC,,孟刚,满志敏,2004/04/05
993,Linyi Xian,临邑县,臨邑縣,116.860519,37.191311,山东临邑县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122015,FROM_AC,,孟刚,满志敏,2004/04/05
994,Changqing Xian,长清县,長清縣,116.723244,36.552830,山东长清县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122016,FROM_AC,,孟刚,满志敏,2004/04/05
995,Ling Xian,陵县,陵縣,116.578407,37.332096,山东陵县县治陵城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Jinan Fu,济南府,,,120013,POINT,122017,FROM_AC,,孟刚,满志敏,2004/04/05
996,Dong'ou Xian,东阿县,東阿縣,116.252235,36.166954,山东平阴县东阿镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Tai'an Fu,泰安府,,,120013,POINT,122018,FROM_AC,,孟刚,满志敏,2004/04/05
997,Pingyin Xian,平阴县,平陰縣,116.448669,36.286934,山东平阴县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Tai'an Fu,泰安府,,,120013,POINT,122019,FROM_AC,,孟刚,满志敏,2004/04/05
998,Huimin Xian,惠民县,惠民縣,117.503891,37.482723,山东惠民县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Wuding Fu,武定府,,,120013,POINT,122020,FROM_AC,,孟刚,满志敏,2004/04/05
999,Yangxin Xian,阳信县,陽信縣,117.576309,37.640835,山东阳信县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Wuding Fu,武定府,,,120013,POINT,122021,FROM_AC,,孟刚,满志敏,2004/04/05
1000,Leling Xian,乐陵县,樂陵縣,117.216530,37.737892,山东乐陵市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Wuding Fu,武定府,,,120013,POINT,122022,FROM_AC,,孟刚,满志敏,2004/04/05
1001,Shanghe Xian,商河县,商河縣,117.157547,37.308678,山东商河县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Wuding Fu,武定府,,,120013,POINT,122023,FROM_AC,,孟刚,满志敏,2004/04/05
1002,Yanggu Xian,阳谷县,陽谷縣,115.775497,36.115799,山东阳谷县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Yanzhou Fu,兖州府,,,120013,POINT,122024,FROM_AC,,孟刚,满志敏,2004/04/05
1003,Chaocheng Xian,朝城县,朝城縣,115.578598,36.055676,山东莘县朝城镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shangdong,山东,Caozhou Fu,曹州府,,,120013,POINT,122025,FROM_AC,,孟刚,满志敏,2004/04/05
